Sb,Sd,Added,Strain
2.5425,4.3096,1.7671,Str1
2.1489,4.8236,2.6747,Str1
2.4836,4.4897,2.0061,Str1
2.2138,4.8042,2.5904,Str1
2.3436,4.4446,2.101,Str1
3.38,5.0085,1.6285,Str1
2.6,5.4091,2.8091,Str1
2.737,5.1116,2.3746,Str1
2.6847,4.9417,2.257,Str1
2.8784,5.4081,2.5297,Str1
2.7424,6.1444,3.402,Str1
3.0887,5.7456,2.6569,Str1
3.0798,5.4976,2.4178,Str1
2.8318,5.4567,2.6249,Str1
2.7791,5.4101,2.631,Str1
2.8718,5.8138,2.942,Str1
2.9509,5.1556,2.2047,Str1
2.6847,5.468,2.7833,Str1
3.5154,5.8121,2.2967,Str1
2.99,5.6587,2.6687,Str1
2.9279,5.661,2.7331,Str1
2.863,5.4662,2.6032,Str1
2.798,4.875,2.077,Str1
2.34,5.4676,3.1276,Str1
2.6008,5.343,2.7422,Str1
2.613,5.4271,2.8141,Str1
2.6291,5.0067,2.3776,Str1
2.5358,5.5347,2.9989,Str1
2.9315,5.9221,2.9906,Str1
2.9964,5.1367,2.1403,Str1
2.6008,5.9915,3.3907,Str1
2.8607,5.9834,3.1227,Str1
2.5383,4.6881,2.1498,Str1
2.34,4.3804,2.0404,Str1
2.4709,5.4793,3.0084,Str1
2.73,6.1483,3.4183,Str1
2.8666,5.4728,2.6062,Str1
2.6658,5.2008,2.535,Str1
2.4709,4.6243,2.1534,Str1
2.3409,5.2332,2.8923,Str1
2.6008,5.3376,2.7368,Str1
2.5358,4.9489,2.4131,Str1
2.6008,5.596,2.9952,Str1
2.4477,4.7668,2.3191,Str1
2.8071,4.9537,2.1466,Str1
2.4836,5.9835,3.4999,Str1
2.21,4.8899,2.6799,Str1
2.419,5.2016,2.7826,Str1
2.7036,5.0717,2.3681,Str1
2.6008,5.3529,2.7521,Str1
3.185,6.4125,3.2275,Str1
3.2817,6.7482,3.4665,Str1
3.4749,5.8536,2.3787,Str1
2.9279,5.741,2.8131,Str1
2.943,6.3859,3.4429,Str1
2.6658,5.4146,2.7488,Str1
2.737,5.5069,2.7699,Str1
2.8221,5.4828,2.6607,Str1
