Model,Gamma,Lamb,s0h,H,M,k,Sb,Added,CV2D,Strain
Comm,0,1,1.4,8,30,9.2131385803,0.3,3.3927251493,0.0145965616,Str8
Comm,0,1,1.4,8,30,9.2131385803,0.4071428571,3.2855844561,0.0155640509,Str8
Comm,0,1,1.4,8,30,9.2131385803,0.5142857143,3.1784582118,0.0166308645,Str8
Comm,0,1,1.4,8,30,9.2131385803,0.6214285714,3.0714002883,0.0178104387,Str8
Comm,0,1,1.4,8,30,9.2131385803,0.7285714286,2.9645873665,0.0191169006,Str8
Comm,0,1,1.4,8,30,9.2131385803,0.8357142857,2.858493607,0.0205620717,Str8
Comm,0,1,1.4,8,30,9.2131385803,0.9428571429,2.7542002524,0.0221481608,Str8
Comm,0,1,1.4,8,30,9.2131385803,1.05,2.6538137218,0.023853835,Str8
Comm,0,1,1.4,8,30,9.2131385803,1.1571428571,2.560743719,0.0256157182,Str8
Comm,0,1,1.4,8,30,9.2131385803,1.2642857143,2.479271918,0.0273202581,Str8
Comm,0,1,1.4,8,30,9.2131385803,1.3714285714,2.4130141212,0.028830705,Str8
Comm,0,1,1.4,8,30,9.2131385803,1.4785714286,2.3631232518,0.0300467807,Str8
Comm,0,1,1.4,8,30,9.2131385803,1.5857142857,2.3279115681,0.0309458958,Str8
Comm,0,1,1.4,8,30,9.2131385803,1.6928571429,2.3041106828,0.0315704129,Str8
Comm,0,1,1.4,8,30,9.2131385803,1.8,2.2883662461,0.0319877146,Str8
Pow,0,2.43,0,0,12,0.8382110596,0.3,3.3711617853,0.0168081617,Str8
Pow,0,2.43,0,0,12,0.8382110596,0.4071428571,3.2678921782,0.0178315917,Str8
Pow,0,2.43,0,0,12,0.8382110596,0.5142857143,3.1663877808,0.0189073177,Str8
Pow,0,2.43,0,0,12,0.8382110596,0.6214285714,3.0668235302,0.020032841,Str8
Pow,0,2.43,0,0,12,0.8382110596,0.7285714286,2.9693462832,0.0212053031,Str8
Pow,0,2.43,0,0,12,0.8382110596,0.8357142857,2.8740796405,0.0224214417,Str8
Pow,0,2.43,0,0,12,0.8382110596,0.9428571429,2.7811268092,0.0236775873,Str8
Pow,0,2.43,0,0,12,0.8382110596,1.05,2.6905724812,0.0249696896,Str8
Pow,0,2.43,0,0,12,0.8382110596,1.1571428571,2.6024842032,0.0262933631,Str8
Pow,0,2.43,0,0,12,0.8382110596,1.2642857143,2.5169134893,0.0276439475,Str8
Pow,0,2.43,0,0,12,0.8382110596,1.3714285714,2.433896818,0.0290165778,Str8
Pow,0,2.43,0,0,12,0.8382110596,1.4785714286,2.3534565928,0.03040626,Str8
Pow,0,2.43,0,0,12,0.8382110596,1.5857142857,2.2756021085,0.0318079484,Str8
Pow,0,2.43,0,0,12,0.8382110596,1.6928571429,2.2003305416,0.0332166217,Str8
Pow,0,2.43,0,0,12,0.8382110596,1.8,2.127627971,0.0346273546,Str8
Deg,1.6635532333,1,0,0,69,42.7376441956,0.3,3.3840726581,0.0161689339,Str8
Deg,1.6635532333,1,0,0,69,42.7376441956,0.4071428571,3.27849048,0.0171943008,Str8
Deg,1.6635532333,1,0,0,69,42.7376441956,0.5142857143,3.1742673106,0.0182768597,Str8
Deg,1.6635532333,1,0,0,69,42.7376441956,0.6214285714,3.07190335,0.0194027342,Str8
Deg,1.6635532333,1,0,0,69,42.7376441956,0.7285714286,2.9719128239,0.0205534816,Str8
Deg,1.6635532333,1,0,0,69,42.7376441956,0.8357142857,2.8748004071,0.0217068222,Str8
Deg,1.6635532333,1,0,0,69,42.7376441956,0.9428571429,2.7810368099,0.0228380067,Str8
Deg,1.6635532333,1,0,0,69,42.7376441956,1.05,2.691035798,0.0239216814,Str8
Deg,1.6635532333,1,0,0,69,42.7376441956,1.1571428571,2.6051353242,0.0249339565,Str8
Deg,1.6635532333,1,0,0,69,42.7376441956,1.2642857143,2.5235849802,0.025854312,Str8
Deg,1.6635532333,1,0,0,69,42.7376441956,1.3714285714,2.446540862,0.0266670231,Str8
Deg,1.6635532333,1,0,0,69,42.7376441956,1.4785714286,2.3740676449,0.0273619223,Str8
Deg,1.6635532333,1,0,0,69,42.7376441956,1.5857142857,2.3061465821,0.0279344753,Str8
Deg,1.6635532333,1,0,0,69,42.7376441956,1.6928571429,2.2426875476,0.0283852861,Str8
Deg,1.6635532333,1,0,0,69,42.7376441956,1.8,2.183543136,0.0287192171,Str8
Comm,0,1,1,7,20,14.9971542358,0.3,1.6546967283,0.0157730003,Str7
Comm,0,1,1,7,20,14.9971542358,0.4071428571,1.5476408929,0.0180304724,Str7
Comm,0,1,1,7,20,14.9971542358,0.5142857143,1.4410179507,0.020796347,Str7
Comm,0,1,1,7,20,14.9971542358,0.6214285714,1.3360175225,0.0241887138,Str7
Comm,0,1,1,7,20,14.9971542358,0.7285714286,1.2356041988,0.0282621226,Str7
